ID: 2020-03-06 17:09:24.948227	Date: 2020-03-06 17:09:24	Runs: 10
=================================================================================================================
Run: 0
Iter	Gbest	AvrFit	Diver	ETime	
0	1.0000	0.0200	1.0000	24584.0323
1	1.0000	0.0400	0.9809	34935.5788
2	1.0000	0.0400	0.9735	44879.1623
3	1.0000	0.0800	0.9717	55773.0324
4	1.0000	0.0800	0.9632	65138.2072
5	1.0000	0.1000	0.9466	74678.5867
6	2.0000	0.1400	0.9654	85970.5791
7	2.0000	0.1600	0.9757	95267.3395
8	3.0000	0.2600	0.9692	106151.8807
9	3.0000	0.3200	0.9695	118413.9764
10	3.0000	0.4000	1.0000	129358.5334
11	3.0000	0.4200	0.9773	139549.2003
12	3.0000	0.4400	0.9571	150064.9714
13	3.0000	0.4400	0.9590	161565.3341
14	3.0000	0.4600	0.9380	172085.5203
15	3.0000	0.5600	0.9197	184042.4340
16	3.0000	0.6400	0.9409	199040.1282
17	3.0000	0.6400	0.9387	214164.9487
18	3.0000	0.7200	0.9095	230087.1706
19	3.0000	0.7400	0.9258	246103.0169
20	3.0000	0.7800	0.8948	264213.9952
21	4.0000	0.9200	0.8810	283360.7059
22	4.0000	0.9600	0.8814	303966.1667
23	4.0000	1.0600	0.8556	324383.5778
24	4.0000	1.0800	0.8795	343297.9314
25	4.0000	1.1600	0.8599	364762.1899
26	4.0000	1.2200	0.8118	384612.7372
27	4.0000	1.2600	0.8246	403937.8874
28	4.0000	1.3400	0.8056	424781.4622
29	4.0000	1.4000	0.7677	445156.0740
30	4.0000	1.4600	0.7689	466571.0332
31	4.0000	1.7200	0.7716	489519.1207
32	4.0000	1.8600	0.6845	513332.9809
33	4.0000	2.0800	0.6790	537812.2649
34	4.0000	2.3200	0.6546	563086.7016
35	4.0000	2.3800	0.6522	587610.0171
36	4.0000	2.5000	0.6709	612578.1279
37	4.0000	2.5400	0.6810	637482.6677
38	4.0000	2.5400	0.6733	662361.6619
39	5.0000	2.7200	0.6746	687242.3847
40	5.0000	2.8000	0.6964	712211.4789
41	5.0000	2.8000	0.7033	737953.7864
42	5.0000	2.8400	0.6899	763104.0173
43	5.0000	2.8400	0.6935	787053.5314
44	5.0000	2.9200	0.6722	812031.7860
45	5.0000	2.9200	0.6728	837145.7326
46	5.0000	2.9800	0.6886	862257.6611
47	5.0000	3.0000	0.6926	887290.9544
48	5.0000	3.0400	0.6906	912209.6875
49	5.0000	3.0600	0.7118	937508.0810
50	5.0000	3.1200	0.7054	962376.5945
51	5.0000	3.1400	0.7054	986749.1910
52	5.0000	3.1600	0.7015	1012400.6770
53	5.0000	3.2000	0.7481	1037844.6171
54	5.0000	3.2800	0.7649	1063169.8468
55	5.0000	3.3600	0.7801	1088531.4789
56	5.0000	3.4200	0.7739	1114491.6852
57	5.0000	3.4400	0.7601	1139978.3506
58	5.0000	3.4600	0.7654	1164870.0550
59	5.0000	3.4600	0.7601	1190594.1863
Pos: [1340.7419425956639, 791.7616423932885, -28.480825448553112, 0.8285658489631903]

Run: 1
Iter	Gbest	AvrFit	Diver	ETime	
0	1.0000	0.0200	1.0000	24007.8418
1	1.0000	0.0400	1.0000	32115.9616
2	1.0000	0.0600	0.9811	43704.5627
3	1.0000	0.0600	1.0000	57045.5832
4	1.0000	0.0800	0.9937	68333.5197
5	12.0000	0.3200	1.0000	78258.9219
6	12.0000	0.3200	0.9988	88268.7590
7	12.0000	0.3400	0.9714	98738.8527
8	12.0000	0.3600	0.9656	109589.5796
9	12.0000	0.3600	0.9573	119738.9948
10	12.0000	0.4400	1.0000	130408.4389
11	12.0000	0.5800	0.9336	142269.4175
12	12.0000	0.6400	0.9483	153089.8471
13	12.0000	0.6600	0.9437	164771.5890
14	12.0000	0.7000	0.9726	178011.3719
15	12.0000	0.7200	0.9513	192712.4352
16	12.0000	0.7600	0.9667	209747.9875
17	12.0000	0.9200	0.9436	227248.4334
18	12.0000	0.9200	0.9424	243919.0075
19	12.0000	1.0400	0.9319	260679.8410
20	12.0000	1.1200	0.9410	277629.7758
21	30.0000	1.8600	0.9411	293304.2340
22	30.0000	2.2000	0.9150	306791.9557
23	30.0000	2.2600	0.9221	324898.5198
24	30.0000	2.3600	0.9487	340872.3171
25	30.0000	2.8600	0.9254	361874.8145
26	30.0000	2.9400	0.8970	381427.5830
27	30.0000	3.6000	0.9115	401719.2984
28	30.0000	4.4000	0.9031	423258.6422
29	35.0000	4.7800	0.8989	443532.9487
30	35.0000	4.8000	0.8923	462457.4478
31	35.0000	4.8400	0.8996	478512.1779
32	35.0000	5.4400	0.8817	499134.3465
33	35.0000	5.9400	0.8713	521689.7001
34	35.0000	6.2800	0.8651	540858.1920
35	35.0000	6.6800	0.8870	561700.9120
36	35.0000	6.8600	0.9098	583668.4511
