;;;;;;;;;;;;;;;;;;;;;;;;
 No.;Test Name;Type of Test;SCMFI;ILLUM.;Width;Height;No. Ips;FOI;ILLUM.;Width;Height;;L TOP X;L TOP Y;R TOP X;R TOP Y;L Bottom X;L Bottom Y;R Bottom X;R Bottom Y;Image Width;Image Height;Image Width;Image Height
1;ILLUMINATION I;Frontal;SCMFI-013-02-01.JPG;CIL;2592;1944;;SFI-CP1-270-330.JPG;CIL;170;190;CP;162;472;332;472;162;662;332;662;170;190;170;190
2;ILLUMINATION I;Frontal;SCMFI-013-02-01.JPG;CIL;2592;1944;;SFI-CV1-210-270.JPG;CIL;220;280;CV;2210;368;2430;368;2210;648;2430;648;220;280;220;280
3;ILLUMINATION I;Frontal;SCMFI-013-02-01.JPG;CIL;2592;1944;;SFI-DK1-264-324.JPG;CIL;160;210;DK;1040;442;1200;442;1040;652;1200;652;160;210;160;210
4;ILLUMINATION I;Frontal;SCMFI-013-02-01.JPG;CIL;2592;1944;;SFI-KV1-200-290.JPG;CIL;250;330;KV;446;488;696;488;446;818;696;818;250;330;250;330
5;ILLUMINATION I;Frontal;SCMFI-013-02-01.JPG;CIL;2592;1944;;SFI-MO1-274-342.JPG;CIL;220;260;MO;670;404;890;404;670;664;890;664;220;260;220;260
6;ILLUMINATION I;Frontal;SCMFI-013-02-01.JPG;CIL;2592;1944;;SFI-MS1-268-352.JPG;CIL;200;290;MS;1332;460;1532;460;1332;750;1532;750;200;290;200;290
7;ILLUMINATION I;Frontal;SCMFI-013-02-01.JPG;CIL;2592;1944;;SFI-MZ1-218-300.JPG;CIL;290;400;MZ;1626;960;1916;960;1626;1360;1916;1360;290;400;290;400
8;ILLUMINATION I;Frontal;SCMFI-013-02-01.JPG;CIL;2592;1944;;SFI-WS1-178-224.JPG;CIL;154;190;WS;1672;552;1826;552;1672;742;1826;742;154;190;154;190
9;ILLUMINATION I;Frontal;SCMFI-045-02-01.JPG;CIL;2592;1944;;SFI-CC1-200-230.JPG;CIL;190;210;CC;978;530;1168;530;978;740;1168;740;190;210;190;210
10;ILLUMINATION I;Frontal;SCMFI-045-02-01.JPG;CIL;2592;1944;;SFI-FP1-180-220.JPG;CIL;250;290;FP;306;360;556;360;306;650;556;650;250;290;250;290
11;ILLUMINATION I;Frontal;SCMFI-045-02-01.JPG;CIL;2592;1944;;SFI-AC1-154-220.JPG;CIL;190;260;AC;1952;460;2142;460;1952;720;2142;720;190;260;190;260
12;ILLUMINATION I;Frontal;SCMFI-045-02-01.JPG;CIL;2592;1944;;SFI-ES1-170-200.JPG;CIL;170;170;ES;1600;602;1770;602;1600;772;1770;772;170;170;170;170
13;ILLUMINATION I;Frontal;SCMFI-045-02-01.JPG;CIL;2592;1944;;SFI-AK1-190-250.JPG;CIL;150;200;AK;706;562;856;562;706;762;856;762;150;200;150;200
14;ILLUMINATION I;Frontal;SCMFI-081-01-01.JPG;CIL;2592;1944;;SFI-AL1-180-220.JPG;CIL;240;280;AL;1132;696;1372;696;1132;976;1372;976;240;280;240;280
15;ILLUMINATION I;Frontal;SCMFI-081-01-01.JPG;CIL;2592;1944;;SFI-GB1-164-208.JPG;CIL;230;280;GB;458;750;688;750;458;1030;688;1030;230;280;230;280
16;ILLUMINATION I;Frontal;SCMFI-081-01-01.JPG;CIL;2592;1944;;SFI-GK1-168-216.JPG;CIL;210;260;GK;1526;250;1736;250;1526;510;1736;510;210;260;210;260
17;ILLUMINATION I;Frontal;SCMFI-081-01-01.JPG;CIL;2592;1944;;SFI-JN1-212-264.JPG;CIL;140;180;JN;1302;466;1442;466;1302;646;1442;646;140;180;140;180
18;ILLUMINATION I;Frontal;SCMFI-081-01-01.JPG;CIL;2592;1944;;SFI-JP1-188-252.JPG;CIL;180;250;JP;132;426;312;426;134;676;314;676;180;250;180;250
19;ILLUMINATION I;Frontal;SCMFI-081-01-01.JPG;CIL;2592;1944;;SFI-NK1-178-218.JPG;CIL;200;210;NK;496;342;696;342;496;552;696;552;200;210;200;210
20;ILLUMINATION I;Frontal;SCMFI-081-01-01.JPG;CIL;2592;1944;;SFI-PR1-224-288.JPG;CIL;260;270;PR;2018;234;2278;234;2018;504;2278;504;260;270;260;270
;;;;;;;;;;;;;;;;;;;;;;;;
